"Item1","Item2","weight"
"Cake","Eggs",3
"Cake","Extra Salami or Feta",9
"Cake","Farm House",15
"Cake","Focaccia",2
"Cake","Frittata",3
"Cake","Fudge",6
"Cake","Granola",3
"Cake","Half slice Monster",1
"Cake","Hearty & Seasonal",8
"Cake","Honey",1
"Cake","Hot chocolate",116
"Cake","Jam",6
"Cake","Jammie Dodgers",31
"Cake","Juice",72
"Cake","Keeping It Local",1
"Cake","Lemon and coconut",2
"Cake","Medialuna",39
"Cake","Mighty Protein",1
"Cake","Mineral water",14
"Cake","Muffin",49
"Cake","My-5 Fruit Shoot",3
"Cake","Nomad bag",2
"Cake","Panatone",1
"Cake","Pastry",51
"Cake","Salad",15
"Cake","Sandwich",81
"Cake","Scandinavian",16
"Cake","Scone",46
"Cake","Smoothies",17
"Cake","Soup",53
"Cake","Spanish Brunch",23
"Cake","Tacos/Fajita",3
"Cake","Tartine",1
"Cake","Tea",269
"Cake","The Nomad",8
"Cake","Tiffin",23
"Cake","Toast",22
"Cake","Truffles",26
"Cake","Valentine's card",1
"Cake","Vegan Feast",3
"Cake","Vegan mincepie",13
"Cake","Victorian Sponge",1
"Caramel bites","Bread",1
"Caramel bites","Coffee",2
"Caramel bites","Jammie Dodgers",1
"Caramel bites","Kids biscuit",1
"Caramel bites","Medialuna",1
"Caramel bites","My-5 Fruit Shoot",1
"Caramel bites","Tea",1
"Cherry me Dried fruit","Cake",1
"Cherry me Dried fruit","Coffee",2
"Cherry me Dried fruit","Eggs",1
"Cherry me Dried fruit","Extra Salami or Feta",1
"Cherry me Dried fruit","Hot chocolate",1
"Cherry me Dried fruit","Toast",1
"Chicken Stew","Alfajores",3
"Chicken Stew","Art Tray",2
"Chicken Stew","Bakewell",1
"Chicken Stew","Bread",29
"Chicken Stew","Brownie",4
"Chicken Stew","Cake",17
"Chicken Stew","Chocolates",1
"Chicken Stew","Coffee",64
"Chicken Stew","Coke",10
"Chicken Stew","Cookies",5
"Chicken Stew","Duck egg",1
"Chicken Stew","Eggs",1
"Chicken Stew","Extra Salami or Feta",2
"Chicken Stew","Farm House",1
"Chicken Stew","Focaccia",1
"Chicken Stew","Fudge",2
"Chicken Stew","Granola",2
"Chicken Stew","Hot chocolate",4
"Chicken Stew","Jammie Dodgers",2
"Chicken Stew","Juice",17
"Chicken Stew","Medialuna",5
"Chicken Stew","Mineral water",3
"Chicken Stew","Muffin",1
"Chicken Stew","Pastry",6
"Chicken Stew","Salad",4
"Chicken Stew","Sandwich",22
"Chicken Stew","Scone",2
"Chicken Stew","Smoothies",2
"Chicken Stew","Soup",15
"Chicken Stew","Spanish Brunch",11
"Chicken Stew","Tea",36
"Chicken Stew","The Nomad",2
"Chicken Stew","Tiffin",4
"Chicken Stew","Toast",5
"Chicken Stew","Truffles",10
"Chicken sand","Coffee",1
"Chicken sand","Frittata",1
"Chicken sand","Scandinavian",1
"Chicken sand","Tea",1
"Chimichurri Oil","Farm House",1
"Chimichurri Oil","Scandinavian",1
"Chocolates","Alfajores",1
"Chocolates","Bread",2
"Chocolates","Cake",1
"Chocolates","Chicken Stew",1
"Chocolates","Coffee",7
"Chocolates","Coke",3
"Chocolates","Cookies",2
"Chocolates","Hot chocolate",5
"Chocolates","Jammie Dodgers",1
"Chocolates","Juice",4
"Chocolates","Mineral water",1
"Chocolates","Pastry",1
"Chocolates","Sandwich",1
"Chocolates","Tea",4
"Chocolates","Tiffin",1
"Christmas common","Baguette",1
"Christmas common","Bread",4
"Christmas common","Cake",1
"Christmas common","Hot chocolate",1
"Christmas common","Jam",2
"Christmas common","Scandinavian",1
"Christmas common","Spanish Brunch",1
"Christmas common","Tea",1
"Christmas common","Truffles",1
"Coffee","Afternoon with the baker",4
"Coffee","Alfajores",268
"Coffee","Art Tray",37
"Coffee","Bacon",2
"Coffee","Baguette",37
"Coffee","Bakewell",37
"Coffee","Bare Popcorn",5
"Coffee","Basket",5
"Coffee","Bowl Nic Pitt",2
"Coffee","Bread",1081
"Coffee","Bread Pudding",4
"Coffee","Brioche and salami",2
"Coffee","Brownie",237
"Coffee","Cake",714
"Coffee","Caramel bites",2
"Coffee","Cherry me Dried fruit",2
"Coffee","Chicken Stew",64
"Coffee","Chicken sand",1
"Coffee","Chocolates",7
"Coffee","Coffee granules",3
"Coffee","Coke",69
"Coffee","Cookies",382
"Coffee","Crepes",4
"Coffee","Crisps",9
"Coffee","Drinking chocolate spoons",5
"Coffee","Duck egg",11
"Coffee","Dulce de Leche",4
"Coffee","Eggs",7
"Coffee","Ella's Kitchen Pouches",8
"Coffee","Empanadas",5
"Coffee","Extra Salami or Feta",45
"Coffee","Farm House",76
"Coffee","Focaccia",12
"Coffee","Frittata",50
"Coffee","Fudge",39
"Coffee","Gingerbread syrup",2
"Coffee","Granola",24
"Coffee","Hack the stack",1
"Coffee","Half slice Monster",2
"Coffee","Hearty & Seasonal",71
"Coffee","Honey",2
"Coffee","Hot chocolate",341
"Coffee","Jam",51
"Coffee","Jammie Dodgers",76
"Coffee","Juice",251
"Coffee","Keeping It Local",60
"Coffee","Kids biscuit",7
"Coffee","Lemon and coconut",6
"Coffee","Medialuna",438
"Coffee","Mighty Protein",10
"Coffee","Mineral water",64
"Coffee","Muesli",3
"Coffee","Muffin",227
"Coffee","My-5 Fruit Shoot",8
"Coffee","Nomad bag",6
"Coffee","Panatone",1
"Coffee","Pastry",613
"Coffee","Pick and Mix Bowls",10
"Coffee","Postcard",1
"Coffee","Raspberry shortbread sandwich",1
"Coffee","Salad",84
"Coffee","Sandwich",537
"Coffee","Scandinavian",56
"Coffee","Scone",219
"Coffee","Smoothies",44
"Coffee","Soup",201
"Coffee","Spanish Brunch",129
"Coffee","Tacos/Fajita",5
"Coffee","Tartine",34
"Coffee","Tea",546
"Coffee","The Nomad",40
"Coffee","Tiffin",98
"Coffee","Toast",296
"Coffee","Truffles",77
"Coffee","Tshirt",1
"Coffee","Vegan Feast",3
"Coffee","Vegan mincepie",41
"Coffee granules","Cake",2
"Coffee granules","Coffee",3
"Coffee granules","Extra Salami or Feta",1
"Coffee granules","Farm House",1
"Coffee granules","Mortimer",1
"Coffee granules","Salad",1
"Coke","Alfajores",7
"Coke","Art Tray",1
"Coke","Baguette",1
"Coke","Bakewell",1
"Coke","Bread",20
"Coke","Brownie",11
"Coke","Cake",17
"Coke","Chicken Stew",10
"Coke","Chocolates",3
"Coke","Coffee",69
"Coke","Cookies",9
"Coke","Crisps",2
"Coke","Extra Salami or Feta",1
"Coke","Farm House",3
"Coke","Frittata",2
"Coke","Fudge",1
"Coke","Granola",1
"Coke","Hearty & Seasonal",2
"Coke","Hot chocolate",6
"Coke","Juice",22
"Coke","Medialuna",7
"Coke","Mighty Protein",1
"Coke","Mineral water",11
"Coke","Muffin",5
"Coke","Pastry",8
"Coke","Pick and Mix Bowls",1
"Coke","Pintxos",1
"Coke","Salad",7
"Coke","Sandwich",63
"Coke","Scone",5
"Coke","Smoothies",2
"Coke","Soup",15
"Coke","Spanish Brunch",6
"Coke","Tacos/Fajita",2
"Coke","Tartine",1
"Coke","Tea",21
"Coke","The Nomad",1
"Coke","Tiffin",4
"Coke","Toast",5
"Coke","Truffles",12
"Coke","Tshirt",1
"Cookies","Afternoon with the baker",2
"Cookies","Alfajores",27
"Cookies","Art Tray",4
"Cookies","Baguette",10
"Cookies","Bakewell",4
"Cookies","Bare Popcorn",2
"Cookies","Bread",149
"Cookies","Brownie",26
"Cookies","Cake",77
"Cookies","Chicken Stew",5
"Cookies","Chocolates",2
"Cookies","Coffee",382
"Cookies","Coke",9
"Cookies","Crisps",2
"Cookies","Duck egg",2
"Cookies","Eggs",1
"Cookies","Ella's Kitchen Pouches",3
"Cookies","Extra Salami or Feta",4
"Cookies","Farm House",12
"Cookies","Focaccia",2
"Cookies","Frittata",4
"Cookies","Fudge",3
"Cookies","Granola",1
"Cookies","Half slice Monster",1
"Cookies","Hearty & Seasonal",3
"Cookies","Honey",1
"Cookies","Hot chocolate",76
"Cookies","Jam",5
"Cookies","Jammie Dodgers",10
"Cookies","Juice",64
"Cookies","Keeping It Local",3
"Cookies","Medialuna",29
"Cookies","Mineral water",14
"Cookies","Muesli",1
"Cookies","Muffin",16
"Cookies","My-5 Fruit Shoot",4
"Cookies","Panatone",1
"Cookies","Pastry",31
"Cookies","Pick and Mix Bowls",2
"Cookies","Salad",4
"Cookies","Sandwich",41
"Cookies","Scandinavian",8
"Cookies","Scone",19
"Cookies","Smoothies",7
"Cookies","Soup",13
"Cookies","Spanish Brunch",8
"Cookies","Tartine",2
"Cookies","Tea",101
"Cookies","The Nomad",3
"Cookies","Tiffin",12
"Cookies","Toast",24
"Cookies","Truffles",7
"Cookies","Vegan Feast",2
"Cookies","Vegan mincepie",3
"Crepes","Alfajores",3
"Crepes","Bread",1
"Crepes","Coffee",4
"Crepes","Farm House",1
"Crepes","Medialuna",2
"Crepes","Sandwich",1
"Crepes","Scone",1
"Crisps","Alfajores",1
"Crisps","Bare Popcorn",1
"Crisps","Bread",4
"Crisps","Cake",1
"Crisps","Coffee",9
"Crisps","Coke",2
"Crisps","Cookies",2
"Crisps","Frittata",2
"Crisps","Hot chocolate",3
"Crisps","Juice",6
"Crisps","Medialuna",2
"Crisps","Mineral water",2
"Crisps","Sandwich",8
"Crisps","Smoothies",1
"Crisps","Truffles",3
"Drinking chocolate spoons","Bread",6
"Drinking chocolate spoons","Brownie",1
"Drinking chocolate spoons","Coffee",5
"Drinking chocolate spoons","Hot chocolate",3
"Drinking chocolate spoons","Juice",2
"Drinking chocolate spoons","Mineral water",2
"Drinking chocolate spoons","Muffin",1
"Drinking chocolate spoons","Pastry",1
"Drinking chocolate spoons","Salad",1
"Drinking chocolate spoons","Sandwich",3
"Duck egg","Afternoon with the baker",1
"Duck egg","Bread",2
"Duck egg","Brownie",1
"Duck egg","Cake",2
"Duck egg","Chicken Stew",1
"Duck egg","Coffee",11
"Duck egg","Cookies",2
"Duck egg","Extra Salami or Feta",2
"Duck egg","Hot chocolate",1
"Duck egg","Jam",1
"Duck egg","Sandwich",1
"Duck egg","Soup",1
"Duck egg","Spanish Brunch",6
"Duck egg","Tea",7
"Duck egg","The Nomad",1
"Duck egg","Toast",1
"Duck egg","Truffles",2
"Dulce de Leche","Alfajores",3
"Dulce de Leche","Bread",4
"Dulce de Leche","Brownie",1
"Dulce de Leche","Cake",2
"Dulce de Leche","Coffee",4
"Dulce de Leche","Fudge",2
"Dulce de Leche","Medialuna",2
"Dulce de Leche","Pastry",2
"Dulce de Leche","Scandinavian",1
"Eggs","Alfajores",1
"Eggs","Bread",16
"Eggs","Cake",3
"Eggs","Cherry me Dried fruit",1
"Eggs","Chicken Stew",1
"Eggs","Coffee",7
"Eggs","Cookies",1
"Eggs","Farm House",1
"Eggs","Fudge",2
"Eggs","Hot chocolate",2
"Eggs","Jammie Dodgers",1
"Eggs","Juice",3
"Eggs","Medialuna",2
"Eggs","Nomad bag",1
"Eggs","Pastry",3
"Eggs","Scandinavian",2
"Eggs","Tea",1
"Ella's Kitchen Pouches","Alfajores",1
"Ella's Kitchen Pouches","Bare Popcorn",1
"Ella's Kitchen Pouches","Bread",5
"Ella's Kitchen Pouches","Brownie",1
"Ella's Kitchen Pouches","Coffee",8
"Ella's Kitchen Pouches","Cookies",3
"Ella's Kitchen Pouches","Fudge",2
"Ella's Kitchen Pouches","Jam",2
"Ella's Kitchen Pouches","Juice",6
"Ella's Kitchen Pouches","Medialuna",3
"Ella's Kitchen Pouches","Muffin",2
"Ella's Kitchen Pouches","My-5 Fruit Shoot",1
"Ella's Kitchen Pouches","Pastry",3
"Ella's Kitchen Pouches","Sandwich",1
"Ella's Kitchen Pouches","Tea",4
"Ella's Kitchen Pouches","Tiffin",1
"Ella's Kitchen Pouches","Truffles",1
"Empanadas","Alfajores",1
"Empanadas","Bread",3
"Empanadas","Coffee",5
"Empanadas","Medialuna",1
"Empanadas","Muffin",1
"Empanadas","Scandinavian",1
"Empanadas","Soup",1
"Empanadas","Tea",2
"Extra Salami or Feta","Afternoon with the baker",1
"Extra Salami or Feta","Baguette",1
"Extra Salami or Feta","Bare Popcorn",1
"Extra Salami or Feta","Bread",11
"Extra Salami or Feta","Brownie",3
"Extra Salami or Feta","Cake",9
"Extra Salami or Feta","Cherry me Dried fruit",1
"Extra Salami or Feta","Chicken Stew",2
"Extra Salami or Feta","Coffee",45
"Extra Salami or Feta","Coffee granules",1
"Extra Salami or Feta","Coke",1
"Extra Salami or Feta","Cookies",4
"Extra Salami or Feta","Duck egg",2
"Extra Salami or Feta","Farm House",1
"Extra Salami or Feta","Frittata",1
"Extra Salami or Feta","Granola",1
"Extra Salami or Feta","Hot chocolate",2
"Extra Salami or Feta","Jam",1
"Extra Salami or Feta","Juice",4
"Extra Salami or Feta","Mineral water",1
"Extra Salami or Feta","Muffin",1
"Extra Salami or Feta","Salad",16
"Extra Salami or Feta","Sandwich",7
"Extra Salami or Feta","Scandinavian",2
"Extra Salami or Feta","Soup",2
"Extra Salami or Feta","Spanish Brunch",8
"Extra Salami or Feta","Tea",6
"Extra Salami or Feta","Toast",6
"Extra Salami or Feta","Truffles",2
"Fairy Doors","Focaccia",1
"Fairy Doors","Scandinavian",1
"Farm House","Alfajores",4
"Farm House","Baguette",6
"Farm House","Bakewell",1
"Farm House","Bare Popcorn",1
"Farm House","Basket",1
"Farm House","Bread",51
"Farm House","Brownie",11
"Farm House","Cake",15
"Farm House","Chicken Stew",1
"Farm House","Chimichurri Oil",1
"Farm House","Coffee",76
"Farm House","Coffee granules",1
"Farm House","Coke",3
"Farm House","Cookies",12
"Farm House","Crepes",1
"Farm House","Eggs",1
"Farm House","Extra Salami or Feta",1
"Farm House","Focaccia",4
"Farm House","Frittata",2
"Farm House","Fudge",3
"Farm House","Gingerbread syrup",1
"Farm House","Hearty & Seasonal",2
"Farm House","Hot chocolate",8
"Farm House","Jam",6
"Farm House","Jammie Dodgers",1
"Farm House","Juice",5
"Farm House","Keeping It Local",1
"Farm House","Medialuna",22
"Farm House","Mineral water",1
"Farm House","Muffin",7
"Farm House","Nomad bag",1
"Farm House","Pastry",29
"Farm House","Salad",2
"Farm House","Sandwich",4
"Farm House","Scandinavian",16
"Farm House","Scone",4
"Farm House","Smoothies",1
"Farm House","Soup",6
"Farm House","Spanish Brunch",4
"Farm House","Tartine",1
"Farm House","Tea",15
"Farm House","The Nomad",1
"Farm House","Tiffin",3
"Farm House","Toast",6
"Farm House","Truffles",2
"Focaccia","Alfajores",4
"Focaccia","Bread",19
"Focaccia","Brownie",2
"Focaccia","Cake",2
"Focaccia","Chicken Stew",1
"Focaccia","Coffee",12
"Focaccia","Cookies",2
"Focaccia","Fairy Doors",1
"Focaccia","Farm House",4
"Focaccia","Fudge",4
"Focaccia","Hearty & Seasonal",2
"Focaccia","Jam",1
"Focaccia","Juice",1
"Focaccia","Medialuna",6
"Focaccia","Muffin",1
"Focaccia","Panatone",1
"Focaccia","Pastry",4
"Focaccia","Pick and Mix Bowls",1
"Focaccia","Sandwich",3
"Focaccia","Scandinavian",4
"Focaccia","Scone",2
"Focaccia","Soup",2
"Focaccia","Tea",6
"Frittata","Alfajores",2
"Frittata","Art Tray",2
"Frittata","Bowl Nic Pitt",1
"Frittata","Bread",27
"Frittata","Brownie",4
"Frittata","Cake",3
"Frittata","Chicken sand",1
"Frittata","Coffee",50
"Frittata","Coke",2
"Frittata","Cookies",4
"Frittata","Crisps",2
"Frittata","Extra Salami or Feta",1
"Frittata","Farm House",2
"Frittata","Fudge",2
"Frittata","Hearty & Seasonal",2
"Frittata","Jam",2
"Frittata","Jammie Dodgers",1
"Frittata","Juice",4
"Frittata","Keeping It Local",1
"Frittata","Medialuna",3
"Frittata","Mineral water",6
"Frittata","Muffin",6
"Frittata","Pastry",5
"Frittata","Salad",2
"Frittata","Sandwich",8
"Frittata","Scandinavian",3
"Frittata","Scone",7
"Frittata","Smoothies",2
"Frittata","Soup",4
"Frittata","Tea",19
"Frittata","The Nomad",1
"Frittata","Toast",2
"Frittata","Truffles",5
"Frittata","Vegan mincepie",1
"Fudge","Alfajores",8
"Fudge","Baguette",1
"Fudge","Bread",38
"Fudge","Bread Pudding",1
"Fudge","Brownie",6
"Fudge","Cake",6
"Fudge","Chicken Stew",2
"Fudge","Coffee",39
"Fudge","Coke",1
"Fudge","Cookies",3
"Fudge","Dulce de Leche",2
"Fudge","Eggs",2
"Fudge","Ella's Kitchen Pouches",2
"Fudge","Farm House",3
"Fudge","Focaccia",4
"Fudge","Frittata",2
"Fudge","Gingerbread syrup",2
"Fudge","Granola",1
"Fudge","Hot chocolate",5
"Fudge","Jam",35
"Fudge","Jammie Dodgers",1
"Fudge","Juice",3
"Fudge","Keeping It Local",1
"Fudge","Kids biscuit",1
"Fudge","Medialuna",7
"Fudge","Muffin",4
"Fudge","My-5 Fruit Shoot",1
"Fudge","Panatone",1
"Fudge","Pastry",5
"Fudge","Sandwich",15
"Fudge","Scandinavian",4
"Fudge","Scone",1
"Fudge","Smoothies",1
"Fudge","Soup",1
"Fudge","Spanish Brunch",2
"Fudge","Spread",1
"Fudge","Tartine",1
"Fudge","Tea",15
"Fudge","The Nomad",2
"Fudge","Toast",2
"Fudge","Truffles",3
"Fudge","Tshirt",1
"Gift voucher","Bread",1
"Gingerbread syrup","Bread",1
"Gingerbread syrup","Coffee",2
"Gingerbread syrup","Farm House",1
